AAMW	425	Late Antique Arts
AAMW	427	Roman Sculpture
AAMW	428	Hellenistic Art and Spectacle
AAMW	435	Medieval Islamic Art & Architecture
AAMW	509	Curatorial Seminar
AAMW	512	Petrography of Cultural Materials
AAMW	514	Kinship and Connectivity in the Roman World
AAMW	519	Ancient Greek Colonies
AAMW	520	Topics in Aegean Bronze Age
AAMW	522	Topics in Ancient Iranian Art
AAMW	523	Narrative in Ancient Art
AAMW	524	Penn Museum Curatorial Seminar: Reconfiguring the Classical World Galleries
AAMW	525	Topics in Greek and Roman Art
AAMW	526	Material & Methods in Mediterranean Archaeology
AAMW	529	Topics in Roman Architecture
AAMW	530	Topics in Byzantine Art
AAMW	533	Topography and Monuments of Ancient Rome
AAMW	534	Problems in Greek and Roman History: Archaeic and Classical
AAMW	536	Archaeology of Anatolia
AAMW	539	Archaeobotany Seminar
AAMW	540	Topics in Medieval Art
AAMW	542	Ancient Seafaring
AAMW	546	Museum Internship
AAMW	550	Archaeologies of Subalternity
AAMW	552	Archaeometallurgy Seminar
AAMW	557	Seminar in Archaeological Theory and Method: Archaeology of Landscapes
AAMW	559	Myth Through Time and In Time
AAMW	562	Intro to Digital Archaeology
AAMW	572	Geophysical Prospection for Archaeology
AAMW	604	Troy and Homer
AAMW	606	Pastoral Nomadism in the Past and Present
AAMW	611	Greek Epigraphy
AAMW	613	Landscapes and Seascapes of the Ancient Mediterranean
AAMW	618	Art and Architecture in Ancient Egypt
AAMW	622	Art of Ancient Iran
AAMW	624	Art of Mesopotamia
AAMW	625	Greek Art and Artifact
AAMW	626	Hellenistic and Roman Art and Artifacts
AAMW	628	Greek Architecture and Urbanism
AAMW	630	Etruscan Art & Archaeology in the Penn Museum
AAMW	632	Byzantine Art and Architecture
AAMW	633	Eastern Medieval Architecture
AAMW	635	Introduction to Visual Culture of the Islamic World
AAMW	640	Medieval Art
AAMW	646	GIS for the Digital Humanities and Social Sciences
AAMW	647	Archaeological Fieldwork in Southern Iraq
AAMW	698	Prospectus Workshop
AAMW	700	Geoarchaeology
AAMW	701	Proseminar In Methods in the History of Art
AAMW	702	Greek Sanctuaries
AAMW	705	Ethnoarchaeology: Greece
AAMW	706	Archaeology of the Hellenistic Period in Italy, Greece, and Asia Minor
AAMW	715	Archaeology of Troy
AAMW	720	Topics in Aegean Art
AAMW	723	Topics in the Art of the Ancient Near East
AAMW	726	The Archaeology of Greece and Asia Minor in the Archaic and Classical Periods
AAMW	732	Topics in Byzantine Art and Architecture
AAMW	737	Islamic Architecture
AAMW	738	Topics in Islamic Archaeology
AAMW	740	Topics in Medieval Art
AAMW	751	Participation in Archaeological Excavations
AAMW	800	Pedagogy
AAMW	999	Independent Study
ACCT	101	Accounting and Financial Reporting
ACCT	102	Strategic Cost Analysis
ACCT	212	Financial Measurement and Disclosure(X)
ACCT	242	Accounting and Business Analysis
ACCT	243	Accounting for Mergers, Acquisitions, and Complex Financial Structures
ACCT	270	Forensic Analytics
ACCT	297	Taxes and Business Strategy
ACCT	399	Supervised Study
ACCT	611	Fundamentals of Financial Accounting
ACCT	613	Fundamentals of Financial and Managerial Accounting
ACCT	706	Cost Management
ACCT	742	Financial Reporting and Business Analysis
ACCT	743	Accounting for Mergers, Acquisitions and Complex Financial Structures
ACCT	747	Financial Disclosure Analytics
ACCT	897	Taxes and Business Strategy
ACCT	910	Accounting Theory Research
ACCT	921	Empirical Research in Accounting I
ACCT	922	Empirical Research in Accounting II
ACCT	930	Empirical Design in Accounting Research
ACCT	981	Workshop Colloquium I
ACCT	982	Workshop Colloquium II
ACFD	600	Personal Development I
ACFD	601	Scholarship Development I
ACFD	602	Personal Development II
ACFD	603	Scholarship Development II
AFRC	001	Introduction to Africana Studies
AFRC	002	Introduction to Sociology
AFRC	006	Race and Ethnic Relations
AFRC	008	Sociology of the Black Community
AFRC	010	Freshman Seminar: The World After
AFRC	011	Urban Sociology
AFRC	012	Freshman Seminar
AFRC	015	Freshman Seminar in 20TH Century History
AFRC	017	Topics in Literature
AFRC	019	AFAM Freshman Seminar
AFRC	041	Homelessness & Urban Inequality
AFRC	047	That's My Song!: Musical Genre as Social Contract
AFRC	050	World Musics and Cultures
AFRC	053	Music of Africa
AFRC	054	Sounding Poetry: Music and Literature
AFRC	056	Seeing/Hearing Globally: Knowing People, Culture, and Places through Travel
AFRC	062	Land of the Pharaohs
AFRC	066	African American Drama: From the
AFRC	070	Colonial Latin America
AFRC	073	The African Diaspora: Global Dimensions
AFRC	075	Africa Before
AFRC	076	Africa Since
AFRC	077	Jazz Style and History
AFRC	078	Faculty-Student Collaborative Action Seminar in Urban University-Community Rltn
AFRC	081	African-American Literature
AFRC	085	Contemporary American Literature
AFRC	101	Study of an Author
AFRC	109	American Jesus
AFRC	112	Discrimination: Sexual and Racial Conflict
AFRC	114	Poetry Writing Workshop
AFRC	115	Religious Ethics and Modern Society
AFRC	116	Caribbean Culture and Politics
AFRC	117	African American Religion
AFRC	120	Social Statistics
AFRC	121	Writing for Children
AFRC	122	Popular Culture and Youth in Africa
AFRC	124	Writing and Politics
AFRC	134	Creative Non-Fiction Writing
AFRC	135	Law and Society
AFRC	141	Histories of Race and Science in Philadelphia
AFRC	147	Studies in African American Music
AFRC	168	History of American Law to
AFRC	169	History of American Law Since
AFRC	172	The American South
AFRC	175	Society and Culture of Brazil
AFRC	176	Afro-American History
AFRC	177	Afro-American History
AFRC	186	Africa and the Transatlantic Slave Trade
AFRC	187	Topics in Africana Studies
AFRC	190	Introduction to Africa
AFRC	201	Divinities, Diviners and Divinations: Religions of the African Diaspora
AFRC	202	Spirit possession in Caribbean Religions
AFRC	215	The World After
AFRC	218	Diversity and the Law
AFRC	222	African Women's Lives: Past and Present
AFRC	225	African Languages and Culture
AFRC	229	Topics in US History
AFRC	232	Race and Ethnic Politics
AFRC	233	World History: Africa or the Middle East
AFRC	234	World History: East Asia or Latin America
AFRC	235	Law and Social Change
AFRC	236	Topics in Transnational History
AFRC	238	Modalities of Black Freedom and Escape: Ships
AFRC	245	Dancing the African Diaspora
AFRC	248	The Haitian Revolution
AFRC	253	Music and Performance of Africa
AFRC	258	Latin American Music
AFRC	268	Contemporary Issues in African Society
AFRC	269	Constitutional Law: Public Power & Civil Rights to
AFRC	274	Faces of Jihad in African Islam
AFRC	276	African American Life and Culture in Slavery
AFRC	277	Penn Slavery Project Research Seminar
AFRC	279	(T)rap Music
AFRC	281	Topics in African American Literature
AFRC	283	Modern Art
AFRC	286	Topics in Race and Ethnicity - No Bench by the Road: Monuments, Memory, and the Afterlife of Slavery
AFRC	287	Religion and Society in Africa
AFRC	290	Topics In Gender, Sexuality, and Literature
AFRC	294	Facing America
AFRC	302	Sustainable Entrepreneurship
AFRC	305	Housing, Race, and Community in the United States
AFRC	307	Race, Science and Justice
AFRC	311	Medicine, Health, and Healing in Africa
AFRC	316	Africa and Roman Literature
AFRC	318	Topics in African Art
AFRC	321	Understanding African Conflict
AFRC	322	American Slavery and the Law
AFRC	324	Dress and Fashion in Africa
AFRC	325	Performance in the African Diaspora
AFRC	327	Fashioning the Black Body
AFRC	332	North Africa: History, Culture, Society
AFRC	336	Africa and the Indian Ocean World
AFRC	338	Exhibiting Black Bodies
AFRC	340	Money, Power, Respect: Funding Social Change
AFRC	343	Global Engagement Seminar
AFRC	345	Sinners, Sex and Slaves: Race and Sex in Early America
AFRC	346	Bodies, Race and Rights: Sex and Citizenship in Modern American History
AFRC	354	Art, Medicine, & Magic: Bodily Remedies
AFRC	357	Undergraduate Topics In African Studies
AFRC	368	Kinesthetic Anthropology
AFRC	372	Africa and the Mid-East
AFRC	373	The History of Foreign Aid and Intervention in Africa
AFRC	377	Black Speculative Futures
AFRC	384	Cuban Visual Culture
AFRC	387	Topics in Africana Studies
AFRC	388	Topics in Modern and Contemporary Art
AFRC	392	Queering North African Subjectivities
AFRC	393	Cinema and Civil Rights
AFRC	399	Independent Study
AFRC	400	Seminar in Africana Studies
AFRC	404	Black Geographies and the Meaning of Land Rights
AFRC	405	Religion, Social Justice & Urban Development
AFRC	406	Existence in Black
AFRC	408	Global Blackface, Minstrelsy and Passing
AFRC	420	Advanced Topics in Africana Studies
AFRC	431	Mobilizing Decolonial Arts and Practice in the Black Atlantic and Beyond
AFRC	433	Social Movement
AFRC	435	Modern Presidency and Race
AFRC	436	Africana Studies Undergraduate Seminar
AFRC	437	Race & Criminal Justice
AFRC	440	African Art,
AFRC	450	Black France: History and Representations
AFRC	465	Race and Racism in the Contemporary World
AFRC	480	Liberation and Ownership
AFRC	499	Honors Course
AFRC	506	Existence in Black
AFRC	514	Africa and the Indian Ocean
AFRC	518	Topics in American Religion
AFRC	522	Psychology of the African-American
AFRC	524	Inequality and Race Policy
AFRC	527	Market Women and Madames
AFRC	530	Black Performance Theory
AFRC	531	Mobilizing Decolonial Arts and Practice in the Black Atlantic and Beyond
AFRC	532	Political Culture and American Cities
AFRC	535	Sociology of Race and Ethnicity
AFRC	538	Topics in Medieval Art
AFRC	542	Archiving Jazz: Visuality And Materiality In The Phila Jazz Community
AFRC	547	Topics in the Study of Religion
AFRC	550	Critical Ethnography
AFRC	552	Existence in Black
AFRC	563	Old Egyptian
AFRC	569	Topics in 20th-Century American Literature
AFRC	570	African-American Literature
AFRC	571	Visualizing W.E.B.DUBOIS
AFRC	572	Topics in African Literature
AFRC	575	Topics of Psychology in Education: Qualitative Studies of Developmental Interventions
AFRC	581	Learning from James Baldwin (
AFRC	587	Race, Nation, Empire
AFRC	591	Introduction to Francophone Studies
AFRC	594	Post-Colonialism Literature
AFRC	602	Stereotype Threat, Impostor Phenomenon, and African Americans
AFRC	606	The Interpretation of Oral Traditions
AFRC	620	Exhibiting Black Bodies
AFRC	624	Race, Poverty, & Place
AFRC	632	North Africa: History, Culture, Society
AFRC	638	Race & Criminal Justice
AFRC	640	Proseminar in Africana Studies
AFRC	641	Topics in African American History
AFRC	645	Graduate Research Seminar
AFRC	655	Topics in Black Political Thought: Difference And Community
AFRC	677	Black Speculative Futures
AFRC	701	African Studies Seminar
AFRC	706	Introduction to Africa and African Diaspora Thought
AFRC	708	Cultural and Literary Theory of Africa and the African Diaspora
AFRC	710	Political Economy and Social History of Africa and the African Diaspora
AFRC	720	Graduate Prospectus and Grant-Writing Seminar
AFRC	723	Multicultural Issues in Education
AFRC	770	Afro-American American Literature
AFRC	771	Seminar in African-American Music
AFRC	775	African Literature
AFRC	791	African Film and Media Pedagogy
AFRC	799	Topics in American Literature
AFRC	437	Afrc Undergrad Seminar
ALAN	240	Intermediate Mongolian I
ALAN	241	Intermediate Mongolian II
AMCS	510	Complex Analysis
AMCS	514	Advanced Linear Algebra
AMCS	520	Ordinary Differential Equations
AMCS	525	Partial Dif Equations
AMCS	567	Mathematical Computation Methods for Modeling Biological Systems
AMCS	584	The Mathmatics of Medical Imaging and Measurement
AMCS	599	Independent Study
AMCS	602	Algebraic Techniques for Applied Mathematics and Computational Science, I.
AMCS	603	Algebraic Techniques for Applied Mathematics and Computational Science, II.
AMCS	608	Analysis
AMCS	609	Analysis
AMCS	610	Functional Analysis
AMCS	999	Independent Study & Research
AMHR	240	Elementary Amharic I
AMHR	241	Elementary Amharic II
AMHR	242	Intermediate Amharic I
AMHR	243	Intermediate Amharic II
AMHR	247	Advanced Amharic
AMHR	649	Amharic Language and Culture
ANCH	025	Ancient Middle Eastern History and Civilization
ANCH	026	Ancient Greece
ANCH	027	Ancient Rome
ANCH	046	Myths and Religions of the Ancient World
ANCH	068	Art and Architecture in Ancient Egypt
ANCH	104	Race and Ethnicity in the Ancient World
ANCH	129	Decline & Fall Roman Emp
ANCH	133	The History of God
ANCH	136	The Ancient Economy
ANCH	146	Ancient Mediterranean Empires
ANCH	202	Cleopatra
ANCH	227	Age of Caesar
ANCH	257	Religion and the Polis
ANCH	261	Ancient Iranian Empires
ANCH	301	Lies My Ancient History Teacher Told Me
ANCH	303	Power and Peril: The Paradox of Monarchy among Ancient Greeks, Romans, and Jews
ANCH	305	Jewish Diaspora in the Roman Empire
ANCH	311	Disasters in the Ancient World
ANCH	315	Kinship and Connectivity in the Roman World
ANCH	316	Africa and Roman Literature
ANCH	323	Greek World After Alexander the Great
ANCH	330	The Rise and Decline of Macedonia
ANCH	363	Foreigners in Rome
ANCH	384	The Hellenistic and Roman Near East
ANCH	398	Honors Thesis
ANCH	399	Independent Study
ANCH	506	MLA Proseminar: Ancient Economies
ANCH	535	Problems in Greek: Archaic and Classical
ANCH	604	Provincial Perspectives
ANCH	611	Greek Epigraphy
ANCH	612	The Flavian Era
ANCH	616	Ancient Economies
ANCH	702	Greek Sanctuaries
ANCH	999	Independent Study
ANEL	440	First Year Akkadian I
ANEL	441	1st Year Akkadian II
ANEL	446	Beginning Sumerian
ANEL	460	Middle Egyptian
ANEL	461	Middle Egyptian Texts
ANEL	540	Akkadian Literary Texts
ANEL	541	Akkadian Historical Texts
ANEL	542	Akkadian Letters
ANEL	546	Intermediate Sumerian
ANEL	560	Late Egyptian
ANEL	563	Old Egyptian
ANEL	640	First Year Akkadian I
ANEL	641	1st Year Akkadian II
ANEL	644	Readings in Akkadian Texts I
ANEL	646	The Land of Sumer: Writing, Language, and Culture
ANEL	647	Sumerian Daily Texts
ANEL	664	Coptic
ANEL	665	Demotic
ANEL	740	Akkadian Religious and Scientific Texts
ANEL	741	Akkadian Legal Texts
ANEL	742	Akkadian Economic Texts
ANEL	743	Peripheral Akkadian
ANEL	746	Readings in Sumerian Texts
ANTH	001	Archaeology: Window to the Human Past
ANTH	002	Anthropology, Race, and the Making of the Modern World
ANTH	003	Introduction to Human Evolution
ANTH	004	The Modern World and Its Cultural Background
ANTH	005	Great Transformations
ANTH	012	Globalization And Its Historical Significance
ANTH	022	World Musics and Cultures
ANTH	026	Behind the Iron Curtain
ANTH	031	The "Rights of Nature" in Times of Conflict and Transition
ANTH	045	How Our Environment Has Shaped Us
ANTH	053	Music in Troubled Places
ANTH	056	Seeing/Hearing Globally: Knowing People, Culture, and Places through Travel
ANTH	058	Freshman Seminar
ANTH	086	Desire and Demand: Culture and Consumption in the Global Marketplace
ANTH	091	Sustainable Development and Culture in Latin America
ANTH	100	Topics In Anthropology and the Modern World
ANTH	104	Sex and Human Nature
ANTH	105	Human Adaptation
ANTH	109	Anthropology of the Senses
ANTH	110	Water in the Middle East Throughout History
ANTH	111	Introduction to Mediterranean Archaeology
ANTH	112	Sacred Stuff: Religious Bodies, Places, and Objects
ANTH	114	Migration and Borders
ANTH	116	Caribbean Culture and Politics
ANTH	118	Witchcraft and Possession
ANTH	120	Popular Culture and Youth in Africa
ANTH	121	Origin and Culture of Cities
ANTH	122	Becoming Human
ANTH	123	Communication & Culture
ANTH	124	Archaeology & The Bible
ANTH	127	The Material Past in a Digital World
ANTH	131	Small Business Anthropology
ANTH	134	Making the Natural World: An Introduction to Political Ecology
ANTH	139	Ancient Civilizations of the World
ANTH	140	Histories of Race and Science in Philadelphia
ANTH	141	Public Policy, Museums, and the Ethics of Cultural Heritage
ANTH	143	Explorations in Human Biology
ANTH	148	Food and Fire: Archaeology in the Laboratory
ANTH	149	Introduction to Native American and Indigenous Studies
ANTH	150	Sport and Society: The Anthropology of Sports
ANTH	151	Archaeology of American History: The Colonial Period
ANTH	154	Liquid Histories and Floating Archives
ANTH	155	Globalization: Causes & Effects
ANTH	159	Population and Public Health in Eastern Europe
ANTH	160	Sex and Socialism
ANTH	169	Merchants, Saints, Slaves and Sojourners: the Worlds of the Indian Ocean
ANTH	177	Colonial Pasts and Indigenous Futures: A History of Belize and Central America
ANTH	180	From Ayahuasca to Zoloft: Anthropological Approaches to Drugs and Drug Use
ANTH	190	Introduction to Africa
ANTH	199	Independent Study in Anthropology
ANTH	202	Language, Migration, Diaspora
ANTH	205	American Folklore
ANTH	209	Indigenous Communities and Community Museums: Directions for the Future
ANTH	210	Death: Anthropological Perspectives
ANTH	211	Religion and Ecology
ANTH	212	Animals & Religion
ANTH	215	The Ancient Maya: Integrating Material, Text, and Image
ANTH	219	Archaeology Field Project
ANTH	220	Historical Archaeology Laboratory
ANTH	221	Material World in Archaeological Science
ANTH	230	Forensic Anthropology
ANTH	231	Modalities of Black Freedom and Escape: Ships
ANTH	234	Pharmaceuticals and Global Health
ANTH	236	Iraq: Ancient Cities and Empires
ANTH	238	Introduction to Medical Anthropology
ANTH	241	Performing History
ANTH	242	Music, Religion, Ritual in South and Southeast Asia.
ANTH	244	Disease and Human Evolution
ANTH	245	Environment in India: Nature, Culture, & Conservation in the Western Ghats
ANTH	246	Molecular Anthropology
ANTH	248	Food and Feasting: Archaeology of the Table
ANTH	249	Evolutionary Medicine
ANTH	253	Violence, Tolerance, Freedom
ANTH	254	Archaeology of the Inca
ANTH	255	Modern Southeast Asia
ANTH	256	Caribbean Music and Diaspora
ANTH	258	Visualizing the Past
ANTH	260	Cultures of Science and Technology
ANTH	263	Music and Performance of Africa
ANTH	267	Living World in Archaeological Science
ANTH	268	Anthropology of Museums
ANTH	271	Ancient Mexico and Central America
ANTH	273	Global Health: Anthropological Perspectives
ANTH	276	Ethnographic Approaches to Urban Athletics and Human Movement
ANTH	294	Global Cities: Urbanization in the Global South
ANTH	300	Research Seminar in Anthropology
ANTH	301	Senior Thesis
ANTH	303	Research Methods in Cultural Anthropology
ANTH	305	Anthropology and Policy: History, Theory, Practice
ANTH	307	Contemporary Native Americans
ANTH	308	Ethnohistory of the Native Northeast
ANTH	309	Psychoanalysis and Anthropology
ANTH	310	Transdisciplinary Environmental Humanities
ANTH	315	Kinship and Connectivity in the Roman World
ANTH	317	The Politics of Matter and the Matter of Politics
ANTH	322	Bodies of Water: Conflicts and Collaborations around Wetlands and Watersheds
ANTH	323	Origins of Art / Origins of Writing
ANTH	325	Who Owns the Past? Archaeology and Politics in the Middle East
ANTH	328	Performing Culture, Native American Arts
ANTH	329	Psychoanalytic and Anthropological Perspectives on Childhood
ANTH	332	Medicine and the Language of Pain
ANTH	334	Feminist Ethnography
ANTH	336	The Peopling of the Americas
ANTH	337	Applying Anthropology Methods in Policy and Practice
ANTH	342	Dress and Fashion in Africa
ANTH	344	Documentary Experiments in Urban Research
ANTH	346	GIS for the Digital Humanities and Social Sciences
ANTH	347	Anthropology of Corporations
ANTH	348	Colonialism and its Legacies
ANTH	350	Archaeology of Civilizations in South America
ANTH	351	Women Making History: The Penn Museum and the Centennial
ANTH	354	Art, Medicine, & Magic: Bodily Remedies
ANTH	359	Nutritional Anthropology
ANTH	361	Global Food Security
ANTH	362	Intro to Digital Archaeology
ANTH	368	Kinesthetic Anthropology
ANTH	377	Black Speculative Futures
ANTH	386	Desire and Demand II: Culture, Production, and Consumption in the Global Marketplace
ANTH	391	Multi-Modal Ethnography: Anthropology Beyond Text
ANTH	402	Applied Research Skills in Global Community Health
ANTH	403	Field Experience in Global Community Health
ANTH	404	Introduction to the Human Skeleton
ANTH	407	Human Evolution
ANTH	415	Archaeology of Animals
ANTH	419	Mining Archaeology
ANTH	421	Anthropology In and Of Environmental Health
ANTH	424	Political Ecologies of the City
ANTH	429	Anthropology of the Environment
ANTH	433	Andean Archaeology
ANTH	440	Plants and Society
ANTH	444	Human Growth and Development
